DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\markdown\serializers.py first seen with mtime 1700348981.9677844
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1703779348.0224302
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\html\__init__.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\html.py first seen with mtime 1703779349.0095208
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1703779348.9320145
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\email\mime\text.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\_common.py first seen with mtime 1670375372.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\markdown\blockprocessors.py first seen with mtime 1700348981.9647944
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1703779348.8770113
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1703779347.1308835
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\management\color.py first seen with mtime 1703779348.8890119
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\email\_policybase.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\struct.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1703779348.8750112
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\templatetags\static.py first seen with mtime 1703779348.9955208
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1703779348.4579744
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1703779348.942521
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1703779348.8740113
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\asyncio\taskgroups.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\dataclasses.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1703779349.0135198
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\validators.py first seen with mtime 1703779348.8145027
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\encoding.py first seen with mtime 1703779349.0085206
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1703779348.8770113
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\__init__.py first seen with mtime 1703779348.8125021
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\secrets.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\encodings\cp1252.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\asyncio\__init__.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1703779348.9290147
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\ctypes\wintypes.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,877 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1703779347.1329806
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1703779349.0245235
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\context.py first seen with mtime 1703779348.9855201
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\token.py first seen with mtime 1670375372.0
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygments\plugin.py first seen with mtime 1714608952.9736485
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1703779348.9345202
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\__init__.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1703779348.900012
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1703779347.5993898
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1703779347.9229207
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1703779348.9395206
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1703779348.928015
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\contextlib.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1703779348.8770113
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\ipaddress.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1703779347.9239206
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\connection.py first seen with mtime 1703779349.0055206
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\whitenoise\string_utils.py first seen with mtime 1733012808.496135
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1703779348.9270146
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1703779348.9375203
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1703779349.023523
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\constants.py first seen with mtime 1703779348.9325175
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1703779347.4528801
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1703779348.881012
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\socket.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\asyncio\protocols.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1703779348.8890119
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\__init__.py first seen with mtime 1703779347.447881
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\http\__init__.py first seen with mtime 1703779348.97952
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1703779349.0075202
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1703779348.886012
DEBUG 2024-12-01 13:03:52,878 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\asgiref\sync.py first seen with mtime 1703779347.364944
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\email\policy.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\markdown\core.py first seen with mtime 1700348981.965791
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_subprocess.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\email\header.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\python\django\personal\personal\urls.py first seen with mtime 1732929640.6045096
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\email\quoprimime.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1703779348.9925208
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\DLLs\_sqlite3.pyd first seen with mtime 1670375414.0
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\autoreload.py first seen with mtime 1703779348.9845204
DEBUG 2024-12-01 13:03:52,879 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1703779348.8730118
